en_word,TE_ID,fr_word
en_airplane,TE_ID_1,fr_avion
en_all_gone,TE_ID_2,fr_parti
en_animal,TE_ID_3,fr_animal
en_another,TE_ID_4,fr_un_autre
en_apple,TE_ID_5,fr_pomme
en_arm,TE_ID_6,fr_bras
en_asleep,TE_ID_7,fr_endormi
en_aunt,TE_ID_8,fr_tante_matante
en_baa_baa,TE_ID_9,fr_bee_bee
en_baby,TE_ID_10,fr_bebe
en_babysitter,TE_ID_11,fr_gardienne
en_babysitter_name,TE_ID_12,fr_nom_de_la_gardienne
en_backyard,TE_ID_13,fr_cour
en_bad,TE_ID_14,fr_mal
en_bad,TE_ID_15,fr_tannant_mechant
en_ball,TE_ID_16,fr_balle
en_balloon,TE_ID_17,fr_ballon
en_banana,TE_ID_18,fr_banane
en_bath,TE_ID_19,fr_bain_routine
en_bathroom,TE_ID_20,fr_salle_de_bain_toilette
en_bathtub,TE_ID_21,fr_bain_object
en_bear,TE_ID_22,fr_ours
en_bed,TE_ID_23,fr_lit
en_bedroom,TE_ID_24,fr_chambre
en_bee,TE_ID_25,fr_abeille
en_belly_button,TE_ID_26,fr_nombril
en_bib,TE_ID_27,fr_bavette
en_bicycle,TE_ID_28,fr_bicyclette
en_big,TE_ID_29,fr_gros_grand
en_bird,TE_ID_30,fr_oiseau
en_bite,TE_ID_31,fr_mordre
en_blanket,TE_ID_32,fr_couverte_couverture
en_block,TE_ID_33,fr_bloc
en_blow,TE_ID_34,fr_souffler
en_blue,TE_ID_35,fr_bleu
en_book,TE_ID_36,fr_livre
en_boots,TE_ID_37,fr_botte
en_bottle,TE_ID_38,fr_bouteille
en_bowl,TE_ID_39,fr_bol
en_box,TE_ID_40,fr_boite
en_boy,TE_ID_41,fr_garcon
en_bread,TE_ID_42,fr_pain
en_break,TE_ID_43,fr_briser_casser
en_breakfast,TE_ID_44,fr_dejeuner
en_bring,TE_ID_45,fr_amener
en_bring,TE_ID_46,fr_apporter
en_broken,TE_ID_47,fr_brisee_cassee
en_broom,TE_ID_48,fr_balai
en_brother,TE_ID_49,fr_frere
en_brush,TE_ID_50,fr_brosse
