en_word,TE_ID
en_airplane,TE_ID_1
en_all_gone,TE_ID_2
en_animal,TE_ID_3
en_another,TE_ID_4
en_apple,TE_ID_5
en_arm,TE_ID_6
en_asleep,TE_ID_7
en_aunt,TE_ID_8
en_baa_baa,TE_ID_9
en_baby,TE_ID_10
en_babysitter,TE_ID_11
en_babysitter_name,TE_ID_12
en_backyard,TE_ID_13
en_bad,TE_ID_14
en_bad,TE_ID_15
en_ball,TE_ID_16
en_balloon,TE_ID_17
en_banana,TE_ID_18
en_bath,TE_ID_19
en_bathroom,TE_ID_20
en_bathtub,TE_ID_21
en_bear,TE_ID_22
en_bed,TE_ID_23
en_bedroom,TE_ID_24
en_bee,TE_ID_25
en_belly_button,TE_ID_26
en_bib,TE_ID_27
en_bicycle,TE_ID_28
en_big,TE_ID_29
en_bird,TE_ID_30
en_bite,TE_ID_31
en_blanket,TE_ID_32
en_block,TE_ID_33
en_blow,TE_ID_34
en_blue,TE_ID_35
en_book,TE_ID_36
en_boots,TE_ID_37
en_bottle,TE_ID_38
en_bowl,TE_ID_39
en_box,TE_ID_40
en_boy,TE_ID_41
en_bread,TE_ID_42
en_break,TE_ID_43
en_breakfast,TE_ID_44
en_bring,TE_ID_45
en_bring,TE_ID_46
en_broken,TE_ID_47
en_broom,TE_ID_48
en_brother,TE_ID_49
en_brush,TE_ID_50
en_bubbles,TE_ID_51
en_bug,TE_ID_52
en_bunny,TE_ID_53
en_bus,TE_ID_54
en_butter,TE_ID_55
en_butterfly,TE_ID_56
en_button,TE_ID_57
en_bye,TE_ID_58
en_cake,TE_ID_59
en_candy,TE_ID_60
en_car,TE_ID_61
en_carrots,TE_ID_62
en_cat,TE_ID_63
en_cereal,TE_ID_64
en_chair,TE_ID_65
en_cheek,TE_ID_66
en_cheerios,TE_ID_67
en_cheese,TE_ID_68
en_chicken_food,TE_ID_69
en_child,TE_ID_70
en_child_own_name,TE_ID_71
en_choo_choo,TE_ID_72
en_clean_action,TE_ID_73
en_clean_description,TE_ID_74
en_clock,TE_ID_75
en_close,TE_ID_76
en_coat,TE_ID_77
en_cockadoodledoo,TE_ID_78
en_coffee,TE_ID_79
en_cold,TE_ID_80
en_comb,TE_ID_81
en_cookie,TE_ID_82
en_couch,TE_ID_83
en_cow,TE_ID_84
en_cracker,TE_ID_85
en_crib,TE_ID_86
en_cry,TE_ID_87
en_cup,TE_ID_88
en_daddy,TE_ID_89
en_dance,TE_ID_90
en_diaper,TE_ID_91
en_dinner,TE_ID_92
en_dirty,TE_ID_93
en_dish,TE_ID_94
en_dog,TE_ID_95
en_doll,TE_ID_96
en_donkey,TE_ID_97
en_door,TE_ID_98
en_down,TE_ID_99
en_draw,TE_ID_100
en_drawer,TE_ID_101
en_dress,TE_ID_102
en_drink_action,TE_ID_103
en_duck,TE_ID_104
en_ear,TE_ID_105
en_eat,TE_ID_106
en_egg,TE_ID_107
en_elephant,TE_ID_108
en_empty,TE_ID_109
en_eye,TE_ID_110
en_face,TE_ID_111
en_fall,TE_ID_112
en_fast,TE_ID_113
en_fine,TE_ID_114
en_finger,TE_ID_115
en_finish,TE_ID_116
en_firetruck,TE_ID_117
