fr_word,TE_ID
fr_avion,TE_ID_1
fr_parti,TE_ID_2
fr_animal,TE_ID_3
fr_un_autre,TE_ID_4
fr_pomme,TE_ID_5
fr_bras,TE_ID_6
fr_endormi,TE_ID_7
fr_tante_matante,TE_ID_8
fr_bee_bee,TE_ID_9
fr_bebe,TE_ID_10
fr_gardienne,TE_ID_11
fr_nom_de_la_gardienne,TE_ID_12
fr_cour,TE_ID_13
fr_mal,TE_ID_14
fr_tannant_mechant,TE_ID_15
fr_balle,TE_ID_16
fr_ballon,TE_ID_17
fr_banane,TE_ID_18
fr_bain_routine,TE_ID_19
fr_salle_de_bain_toilette,TE_ID_20
fr_bain_object,TE_ID_21
fr_ours,TE_ID_22
fr_lit,TE_ID_23
fr_chambre,TE_ID_24
fr_abeille,TE_ID_25
fr_nombril,TE_ID_26
fr_bavette,TE_ID_27
fr_bicyclette,TE_ID_28
fr_gros_grand,TE_ID_29
fr_oiseau,TE_ID_30
fr_mordre,TE_ID_31
fr_couverte_couverture,TE_ID_32
fr_bloc,TE_ID_33
fr_souffler,TE_ID_34
fr_bleu,TE_ID_35
fr_livre,TE_ID_36
fr_botte,TE_ID_37
fr_bouteille,TE_ID_38
fr_bol,TE_ID_39
fr_boite,TE_ID_40
fr_garcon,TE_ID_41
fr_pain,TE_ID_42
fr_briser_casser,TE_ID_43
fr_dejeuner,TE_ID_44
fr_amener,TE_ID_45
fr_apporter,TE_ID_46
fr_brisee_cassee,TE_ID_47
fr_balai,TE_ID_48
fr_frere,TE_ID_49
fr_brosse,TE_ID_50
fr_bulles,TE_ID_51
fr_bibitte,TE_ID_52
fr_lapin,TE_ID_53
fr_autobus,TE_ID_54
fr_beurre,TE_ID_55
fr_papillon,TE_ID_56
fr_bouton,TE_ID_57
fr_bye_au_revoir,TE_ID_58
fr_gateau,TE_ID_59
fr_bonbon,TE_ID_60
fr_auto,TE_ID_61
fr_carotte,TE_ID_62
fr_chat,TE_ID_63
fr_cereales,TE_ID_64
fr_chaise,TE_ID_65
fr_joue,TE_ID_66
fr_cheerios,TE_ID_67
fr_fromage,TE_ID_68
fr_poulet_food,TE_ID_69
fr_enfant,TE_ID_70
fr_son_propre_nom,TE_ID_71
fr_tchou_tchou,TE_ID_72
fr_nettoyer,TE_ID_73
fr_propre,TE_ID_74
fr_horloge,TE_ID_75
fr_fermer,TE_ID_76
fr_manteau,TE_ID_77
fr_cocorico,TE_ID_78
fr_cafe,TE_ID_79
fr_froid,TE_ID_80
fr_peigne,TE_ID_81
fr_biscuit,TE_ID_82
fr_divan,TE_ID_83
fr_vache,TE_ID_84
fr_biscuit_soda,TE_ID_85
fr_bassinette_berceau,TE_ID_86
fr_pleurer,TE_ID_87
fr_tasse,TE_ID_88
fr_papa,TE_ID_89
fr_danser,TE_ID_90
fr_couche,TE_ID_91
fr_souper,TE_ID_92
fr_sale,TE_ID_93
fr_plat,TE_ID_94
fr_chien,TE_ID_95
fr_poupee,TE_ID_96
fr_ane,TE_ID_97
