old_names,new_names
study_name,study_name
subject_id,baby_id
local_lab_id,recording_name
bêêê bêêê,fr_bee_bee
cocorico,fr_cocorico
coin coin,fr_coin_coin
grr,fr_grr
meuh,fr_meuh
miaou,fr_miaou
miam miam,fr_miam_miam
oh oh,fr_oh_oh
aïe,fr_aie
tchou tchou,fr_tchou_tchou
vroum,fr_vroum
wouf wouf,fr_wouf_wouf
abeille,fr_abeille
âne,fr_ane
animal,fr_animal
bibitte,fr_bibitte
canard,fr_canard
chat,fr_chat
petit minou,fr_petit_minou
cheval,fr_cheval
chien,fr_chien
petit chien,fr_petit_chien
cochon,fr_cochon
écureuil,fr_ecureuil
éléphant,fr_elephant
girafe,fr_girafe
grenouille,fr_grenouille
hibou,fr_hibou
lapin,fr_lapin
lion,fr_lion
mouton,fr_mouton
oiseau,fr_oiseau
ours,fr_ours
ourson / nounours,fr_ourson_nounours
papillon,fr_papillon
poisson_animal,fr_poisson_animal
poule,fr_poule_animal
singe,fr_singe
souris,fr_souris
tigre,fr_tigre
tortue,fr_tortue
vache,fr_vache
auto,fr_auto
autobus,fr_autobus
avion,fr_avion
bicyclette,fr_bicyclette
camion,fr_camion
camion de pompier,fr_camion_de_pompier
moto,fr_moto
poussette,fr_poussette
train,fr_train
balle,fr_balle
ballon,fr_ballon
bloc,fr_bloc
bulles,fr_bulles
crayon / stylo,fr_crayon_stylo
jouet,fr_jouet
livre,fr_livre
poupée,fr_poupee
toutou,fr_toutou
banane,fr_banane
beurre,fr_beurre
biscuit,fr_biscuit
biscuit soda,fr_biscuit_soda
bonbon,fr_bonbon
café,fr_cafe
carotte,fr_carotte
céréales,fr_cereales
Cheerios,fr_cheerios
crème glacée,fr_creme_glacee
eau_beverage,fr_eau_beverage
fromage,fr_fromage
gâteau,fr_gateau
jus,fr_jus
lait,fr_lait
nouilles / pâtes,fr_nouilles_pates
nourriture,fr_nourriture
oeuf,fr_oeuf
orange,fr_orange
pain,fr_pain
pizza,fr_pizza
pois,fr_pois
poisson_food,fr_poisson_food
pomme,fr_pomme
poulet,fr_poulet_food
raisin,fr_raisin
raisin sec,fr_raisin_sec
spaghetti,fr_spaghetti
toast/rôtie,fr_toast_rotie
viande,fr_viande
bas,fr_bas
bavette,fr_bavette
botte,fr_botte
bouton,fr_bouton
chandail,fr_chandail
chapeau,fr_chapeau
chemise,fr_chemise
collier,fr_collier
couche,fr_couche
jeans,fr_jeans
manteau,fr_manteau
pantalon,fr_pantalon
pyjama,fr_pyjama
robe,fr_robe
soulier,fr_soulier
zip / fermeture-éclair,fr_zip_fermeture
bedaine / ventre,fr_bedaine_ventre
bobo,fr_bobo
bouche,fr_bouche
bras,fr_bras
cheveux,fr_cheveux
dent,fr_dent
doigt,fr_doigt
genou,fr_genou
jambe,fr_jambe
joue,fr_joue
langue,fr_langue
main,fr_main
moustache,fr_moustache
nez,fr_nez
nombril,fr_nombril
yeux,fr_yeux
oreille,fr_oreille
orteil,fr_orteil
pied,fr_pied
tête,fr_tete
visage,fr_visage
bain_object,fr_bain_object
bassinette / berceau,fr_bassinette_berceau
chaise,fr_chaise
chaise berçante,fr_chaise_bercante
chaise haute,fr_chaise_haute
chambre,fr_chambre
cuisine,fr_cuisine
divan,fr_divan
escalier,fr_escalier
évier / lavabo,fr_evier_lavabo
fenêtre,fr_fenetre
four,fr_four
frigidaire / frigo,fr_frigidaire_frigo
garage,fr_garage
lit,fr_lit
parc (d’enfant),fr_parc_d_enfant
poêle,fr_poele
porte,fr_porte
pot,fr_pot
salle de bain / toilette,fr_salle_de_bain_toilette
salon,fr_salon
table,fr_table
télévision,fr_television
tiroir,fr_tiroir
aspirateur,fr_aspirateur
assiette,fr_assiette
balai,fr_balai
boîte,fr_boite
bol,fr_bol
bouteille,fr_bouteille
brosse,fr_brosse
brosse à dents,fr_brosse_a_dents
ciseaux,fr_ciseaux
clés,fr_cles
couverte / couverture,fr_couverte_couverture
cuillère,fr_cuillere
fourchette,fr_fourchette
horloge,fr_horloge
image,fr_image
lampe,fr_lampe
lumière,fr_lumiere
lunettes,fr_lunettes
marteau,fr_marteau
médicament,fr_medicament
montre,fr_montre
oreiller,fr_oreiller
papier,fr_papier
peigne,fr_peigne
photo,fr_photo
plante,fr_plante
plat,fr_plat
radio,fr_radio
sacoche / sac à main,fr_sacoche_sac_a_main
savon,fr_savon
serviette,fr_serviette
tasse,fr_tasse
téléphone,fr_telephone
verre,fr_verre
vidanges,fr_vidanges
arbre,fr_arbre
balançoire,fr_balancoire
chez-nous,fr_chez_nous
ciel,fr_ciel
cour,fr_cour
dehors,fr_dehors
eau_not_beverage,fr_eau_not_beverage
école,fr_ecole
étoile,fr_etoile
fête,fr_fete
fleur,fr_fleur
glissoire,fr_glissoire
lune,fr_lune
magasin,fr_magasin
maison,fr_maison
neige,fr_neige
parc,fr_parc
pelle,fr_pelle
piscine,fr_piscine
pluie,fr_pluie
roche,fr_roche
soleil,fr_soleil
travail / bureau,fr_travail_bureau
bébé,fr_bebe
bonhomme,fr_bonhomme
dame / madame,fr_dame_madame
enfant,fr_enfant
fille,fr_fille
frère,fr_frere
garçon,fr_garcon
gardienne,fr_gardienne
gens / monde,fr_gens_monde
grand-maman*,fr_grand_maman
grand-papa*,fr_grand_papa
maman*,fr_maman
monsieur,fr_monsieur
nom du (de la) gardien(ne),fr_nom_de_la_gardienne
oncle / mononcle,fr_oncle_mononcle
papa*,fr_papa
soeur,fr_soeur
son propre nom,fr_son_propre_nom
tante / matante,fr_tante_matante
allô,fr_allo
attends,fr_attends
bain_routine,fr_bain_routine
bonjour,fr_bonjour
bonne nuit,fr_bonne_nuit
bravo!,fr_bravo
bye / au revoir,fr_bye_au_revoir
caca,fr_caca
chut,fr_chut
coucou,fr_coucou
déjeuner,fr_dejeuner
dîner,fr_diner
dodo,fr_dodo
faire le tour de la maison,fr_faire_le_tour_de_la_maison
menouche menouche,fr_menouche_menouche
merci,fr_merci
non,fr_non
o.k.,fr_okay
oui,fr_oui
pipi,fr_pipi
s’il-vous-plaît,fr_sil_vous_plait
souper,fr_souper
tape tape,fr_tape_tape
(je) veux,fr_je_veux
aider,fr_aider
aimer,fr_aimer
aller,fr_aller
allumer,fr_allumer
amener,fr_amener
apporter,fr_apporter
arrêter,fr_arreter
arroser,fr_arroser
asseoir,fr_asseoir
attacher,fr_attacher
attendre,fr_attendre
attraper,fr_attraper
avoir,fr_avoir
balancer,fr_balancer
balayer,fr_balayer
bercer,fr_bercer
boire,fr_boire
brasser,fr_brasser
briser / casser,fr_briser_casser
brosser,fr_brosser
cacher,fr_cacher
chanter,fr_chanter
chatouiller,fr_chatouiller
chercher,fr_chercher
choisir,fr_choisir
cogner (à),fr_cogner_a
